ZIP_CODE,BOROUGH,INSPECTION_DATE,count
10457,Bronx,2017,1594
11237,Brooklyn,2017,1489
11221,Brooklyn,2017,1378
10458,Bronx,2017,1273
11206,Brooklyn,2017,1160
10456,Bronx,2017,1085
11216,Brooklyn,2017,1070
10467,Bronx,2017,1010
10453,Bronx,2017,993
10468,Bronx,2017,977
10460,Bronx,2017,768
10452,Bronx,2017,762
10025,Manhattan,2017,658
11205,Brooklyn,2017,572
11238,Brooklyn,2017,569
10459,Bronx,2017,556
10002,Manhattan,2017,507
10024,Manhattan,2017,469
10031,Manhattan,2017,455
10009,Manhattan,2017,449
10026,Manhattan,2017,403
10128,Manhattan,2017,403
10029,Manhattan,2017,394
11226,Brooklyn,2017,373
10027,Manhattan,2017,369
10472,Bronx,2017,361
10034,Manhattan,2017,354
10003,Manhattan,2017,351
10463,Bronx,2017,350
11217,Brooklyn,2017,347
11385,Queens,2017,345
11211,Brooklyn,2017,311
10030,Manhattan,2017,290
10451,Bronx,2017,289
11213,Brooklyn,2017,280
11215,Brooklyn,2017,264
10040,Manhattan,2017,263
10028,Manhattan,2017,261
10454,Bronx,2017,254
10033,Manhattan,2017,253
10455,Bronx,2017,248
10032,Manhattan,2017,239
10035,Manhattan,2017,239
11233,Brooklyn,2017,220
11372,Queens,2017,216
10011,Manhattan,2017,201
11207,Brooklyn,2017,200
10462,Bronx,2017,190
10474,Bronx,2017,189
10023,Manhattan,2017,160
11225,Brooklyn,2017,157
10014,Manhattan,2017,155
10019,Manhattan,2017,155
11212,Brooklyn,2017,143
10036,Manhattan,2017,140
10013,Manhattan,2017,133
10001,Manhattan,2017,122
11377,Queens,2017,122
11222,Brooklyn,2017,119
11201,Brooklyn,2017,115
10012,Manhattan,2017,112
11249,Brooklyn,2017,100
10037,Manhattan,2017,98
10065,Manhattan,2017,93
10021,Manhattan,2017,91
11368,Queens,2017,88
11435,Queens,2017,85
10038,Manhattan,2017,82
10301,Staten Island,2017,80
10016,Manhattan,2017,72
10039,Manhattan,2017,64
11101,Queens,2017,62
11235,Brooklyn,2017,60
10022,Manhattan,2017,59
10302,Staten Island,2017,57
11208,Brooklyn,2017,57
11373,Queens,2017,57
10473,Bronx,2017,51
11432,Queens,2017,51
11103,Queens,2017,49
11203,Brooklyn,2017,48
10075,Manhattan,2017,47
10018,Manhattan,2017,45
10306,Staten Island,2017,43
10010,Manhattan,2017,42
10469,Bronx,2017,40
11374,Queens,2017,40
11433,Queens,2017,37
11210,Brooklyn,2017,35
11418,Queens,2017,35
11231,Brooklyn,2017,33
11361,Queens,2017,33
10310,Staten Island,2017,32
10304,Staten Island,2017,31
10314,Staten Island,2017,30
10007,Manhattan,2017,29
11232,Brooklyn,2017,29
11218,Brooklyn,2017,28
11106,Queens,2017,26
11214,Brooklyn,2017,26
10471,Bronx,2017,25
11378,Queens,2017,25
11219,Brooklyn,2017,24
11220,Brooklyn,2017,24
11355,Queens,2017,24
11419,Queens,2017,23
10017,Manhattan,2017,21
11236,Brooklyn,2017,21
10466,Bronx,2017,20
11370,Queens,2017,19
10303,Staten Island,2017,17
11224,Brooklyn,2017,17
11354,Queens,2017,17
10461,Bronx,2017,16
10004,Manhattan,2017,15
11102,Queens,2017,15
11379,Queens,2017,15
11230,Brooklyn,2017,14
11375,Queens,2017,14
11417,Queens,2017,14
11357,Queens,2017,13
11369,Queens,2017,13
10470,Bronx,2017,12
11234,Brooklyn,2017,9
10475,Bronx,2017,8
10463,Manhattan,2017,7
11204,Brooklyn,2017,7
11367,Queens,2017,7
11416,Queens,2017,7
10006,Manhattan,2017,6
10069,Manhattan,2017,6
11223,Brooklyn,2017,6
11412,Queens,2017,6
11415,Queens,2017,6
11420,Queens,2017,6
11436,Queens,2017,6
10305,Staten Island,2017,5
11358,Queens,2017,5
11423,Queens,2017,5
11691,Queens,2017,5
11104,Queens,2017,4
11228,Brooklyn,2017,4
11365,Queens,2017,4
10312,Staten Island,2017,3
10465,Bronx,2017,3
11229,Brooklyn,2017,3
11414,Queens,2017,3
11421,Queens,2017,3
11427,Queens,2017,3
11429,Queens,2017,3
10005,Manhattan,2017,2
10308,Staten Island,2017,2
11001,Queens,2017,2
11363,Queens,2017,2
11366,Queens,2017,2
11434,Queens,2017,2
11694,Queens,2017,2
10044,Manhattan,2017,1
10307,Staten Island,2017,1
10309,Staten Island,2017,1
11105,Queens,2017,1
11209,Brooklyn,2017,1
11364,Queens,2017,1
11426,Queens,2017,1
11428,Queens,2017,1
11692,Queens,2017,1
10457,Bronx,2016,1140
10458,Bronx,2016,1036
10453,Bronx,2016,956
11216,Brooklyn,2016,862
10456,Bronx,2016,837
11237,Brooklyn,2016,826
10468,Bronx,2016,802
10452,Bronx,2016,763
11221,Brooklyn,2016,645
11206,Brooklyn,2016,585
10467,Bronx,2016,582
10002,Manhattan,2016,536
10460,Bronx,2016,522
10009,Manhattan,2016,496
10029,Manhattan,2016,475
10025,Manhattan,2016,466
10003,Manhattan,2016,453
11385,Queens,2016,416
10031,Manhattan,2016,408
11211,Brooklyn,2016,343
10024,Manhattan,2016,336
10027,Manhattan,2016,335
10459,Bronx,2016,331
10128,Manhattan,2016,310
11217,Brooklyn,2016,310
11238,Brooklyn,2016,309
11205,Brooklyn,2016,291
10451,Bronx,2016,275
10472,Bronx,2016,271
11233,Brooklyn,2016,271
10040,Manhattan,2016,263
11213,Brooklyn,2016,263
10033,Manhattan,2016,260
10026,Manhattan,2016,257
10032,Manhattan,2016,254
11226,Brooklyn,2016,254
10035,Manhattan,2016,253
10014,Manhattan,2016,245
10028,Manhattan,2016,242
11372,Queens,2016,216
11215,Brooklyn,2016,214
10463,Bronx,2016,208
10462,Bronx,2016,199
11103,Queens,2016,191
11201,Brooklyn,2016,188
10455,Bronx,2016,179
10011,Manhattan,2016,176
10034,Manhattan,2016,160
10030,Manhattan,2016,158
11212,Brooklyn,2016,155
11207,Brooklyn,2016,150
10474,Bronx,2016,144
11377,Queens,2016,136
10012,Manhattan,2016,134
10013,Manhattan,2016,127
10036,Manhattan,2016,127
10038,Manhattan,2016,114
10022,Manhattan,2016,108
10019,Manhattan,2016,104
11225,Brooklyn,2016,102
11222,Brooklyn,2016,95
11368,Queens,2016,93
11101,Queens,2016,90
10301,Staten Island,2016,83
10454,Bronx,2016,79
11235,Brooklyn,2016,74
10023,Manhattan,2016,73
10016,Manhattan,2016,72
11249,Brooklyn,2016,64
11373,Queens,2016,63
11203,Brooklyn,2016,59
10469,Bronx,2016,54
10039,Manhattan,2016,52
10001,Manhattan,2016,47
10021,Manhattan,2016,47
10065,Manhattan,2016,46
10037,Manhattan,2016,44
11106,Queens,2016,44
10010,Manhattan,2016,43
10473,Bronx,2016,42
11231,Brooklyn,2016,39
11435,Queens,2016,36
10075,Manhattan,2016,34
10304,Staten Island,2016,32
10314,Staten Island,2016,32
11208,Brooklyn,2016,31
11374,Queens,2016,30
10306,Staten Island,2016,29
10466,Bronx,2016,27
11210,Brooklyn,2016,27
11232,Brooklyn,2016,27
10302,Staten Island,2016,26
10471,Bronx,2016,26
11214,Brooklyn,2016,25
11355,Queens,2016,25
11218,Brooklyn,2016,24
11224,Brooklyn,2016,24
11432,Queens,2016,22
10006,Manhattan,2016,20
11378,Queens,2016,20
10007,Manhattan,2016,19
10017,Manhattan,2016,19
10303,Staten Island,2016,18
10470,Bronx,2016,18
11204,Brooklyn,2016,18
11418,Queens,2016,17
10310,Staten Island,2016,16
11433,Queens,2016,16
10018,Manhattan,2016,14
11219,Brooklyn,2016,13
11220,Brooklyn,2016,13
11354,Queens,2016,13
11375,Queens,2016,12
11361,Queens,2016,11
10308,Staten Island,2016,10
10461,Bronx,2016,10
11230,Brooklyn,2016,10
11234,Brooklyn,2016,10
11421,Queens,2016,10
11223,Brooklyn,2016,9
11415,Queens,2016,9
11420,Queens,2016,9
11102,Queens,2016,8
11236,Brooklyn,2016,8
11370,Queens,2016,8
11417,Queens,2016,8
10004,Manhattan,2016,7
10305,Staten Island,2016,7
11104,Queens,2016,7
11209,Brooklyn,2016,6
11228,Brooklyn,2016,6
10312,Staten Island,2016,4
10465,Bronx,2016,4
11105,Queens,2016,4
11357,Queens,2016,4
11379,Queens,2016,4
11419,Queens,2016,4
11426,Queens,2016,4
10309,Staten Island,2016,3
11358,Queens,2016,3
11369,Queens,2016,3
11414,Queens,2016,3
11434,Queens,2016,3
11436,Queens,2016,3
10044,Manhattan,2016,2
10280,Manhattan,2016,2
10475,Bronx,2016,2
11365,Queens,2016,2
11416,Queens,2016,2
11428,Queens,2016,2
11429,Queens,2016,2
10005,Manhattan,2016,1
10069,Manhattan,2016,1
10307,Staten Island,2016,1
10463,Manhattan,2016,1
11356,Queens,2016,1
11367,Queens,2016,1
11413,Queens,2016,1
11691,Queens,2016,1
10458,Bronx,2015,1115
10457,Bronx,2015,1092
10456,Bronx,2015,910
10468,Bronx,2015,756
11221,Brooklyn,2015,625
10452,Bronx,2015,597
10453,Bronx,2015,547
10029,Manhattan,2015,535
10009,Manhattan,2015,529
10460,Bronx,2015,524
10467,Bronx,2015,467
10002,Manhattan,2015,405
10025,Manhattan,2015,360
11237,Brooklyn,2015,359
10459,Bronx,2015,354
11216,Brooklyn,2015,349
11206,Brooklyn,2015,293
11238,Brooklyn,2015,259
10027,Manhattan,2015,239
10451,Bronx,2015,223
11211,Brooklyn,2015,216
10003,Manhattan,2015,202
10026,Manhattan,2015,202
11217,Brooklyn,2015,202
11201,Brooklyn,2015,199
11215,Brooklyn,2015,198
10012,Manhattan,2015,193
10033,Manhattan,2015,189
11233,Brooklyn,2015,185
11205,Brooklyn,2015,184
10463,Bronx,2015,175
10032,Manhattan,2015,171
10031,Manhattan,2015,163
11213,Brooklyn,2015,163
10024,Manhattan,2015,161
10455,Bronx,2015,159
10013,Manhattan,2015,152
10472,Bronx,2015,151
10011,Manhattan,2015,146
10462,Bronx,2015,140
10040,Manhattan,2015,138
10034,Manhattan,2015,127
10474,Bronx,2015,124
11226,Brooklyn,2015,122
11385,Queens,2015,117
11225,Brooklyn,2015,114
10035,Manhattan,2015,109
11207,Brooklyn,2015,107
11222,Brooklyn,2015,107
10030,Manhattan,2015,106
10128,Manhattan,2015,105
10028,Manhattan,2015,85
11372,Queens,2015,83
10022,Manhattan,2015,78
11373,Queens,2015,68
11212,Brooklyn,2015,65
11368,Queens,2015,64
11249,Brooklyn,2015,62
11377,Queens,2015,58
10454,Bronx,2015,56
10036,Manhattan,2015,52
10014,Manhattan,2015,49
10038,Manhattan,2015,48
11208,Brooklyn,2015,48
11432,Queens,2015,46
10303,Staten Island,2015,45
11101,Queens,2015,44
10007,Manhattan,2015,43
10019,Manhattan,2015,43
11235,Brooklyn,2015,41
10001,Manhattan,2015,36
11106,Queens,2015,34
10016,Manhattan,2015,33
10023,Manhattan,2015,32
10039,Manhattan,2015,31
11214,Brooklyn,2015,29
11218,Brooklyn,2015,29
11203,Brooklyn,2015,26
11231,Brooklyn,2015,25
10010,Manhattan,2015,22
10302,Staten Island,2015,22
10037,Manhattan,2015,21
10469,Bronx,2015,20
10473,Bronx,2015,20
11210,Brooklyn,2015,20
11220,Brooklyn,2015,20
11420,Queens,2015,20
11435,Queens,2015,20
10312,Staten Island,2015,19
11374,Queens,2015,19
10021,Manhattan,2015,18
10471,Bronx,2015,18
11433,Queens,2015,18
10006,Manhattan,2015,17
10314,Staten Island,2015,17
10466,Bronx,2015,17
10065,Manhattan,2015,16
11354,Queens,2015,15
11102,Queens,2015,14
11224,Brooklyn,2015,12
11232,Brooklyn,2015,12
11355,Queens,2015,12
11361,Queens,2015,12
11429,Queens,2015,12
10304,Staten Island,2015,11
11103,Queens,2015,11
11105,Queens,2015,11
11234,Brooklyn,2015,11
11236,Brooklyn,2015,11
10044,Manhattan,2015,10
10301,Staten Island,2015,10
10306,Staten Island,2015,10
11219,Brooklyn,2015,10
11230,Brooklyn,2015,10
11378,Queens,2015,10
11418,Queens,2015,10
11419,Queens,2015,10
10018,Manhattan,2015,9
11223,Brooklyn,2015,9
10075,Manhattan,2015,8
10470,Bronx,2015,8
11426,Queens,2015,8
11436,Queens,2015,8
11375,Queens,2015,6
11434,Queens,2015,6
10310,Staten Island,2015,5
11204,Brooklyn,2015,5
11209,Brooklyn,2015,5
11417,Queens,2015,5
11421,Queens,2015,5
10017,Manhattan,2015,4
10308,Staten Island,2015,4
11104,Queens,2015,4
11379,Queens,2015,4
10305,Staten Island,2015,3
10461,Bronx,2015,3
11356,Queens,2015,3
11357,Queens,2015,3
11413,Queens,2015,3
11416,Queens,2015,3
11691,Queens,2015,3
10005,Manhattan,2015,2
10307,Staten Island,2015,2
10463,Manhattan,2015,2
11228,Brooklyn,2015,2
11367,Queens,2015,2
11411,Queens,2015,2
11412,Queens,2015,2
10280,Manhattan,2015,1
10464,Bronx,2015,1
10475,Bronx,2015,1
11001,Queens,2015,1
11229,Brooklyn,2015,1
11360,Queens,2015,1
11369,Queens,2015,1
11370,Queens,2015,1
11415,Queens,2015,1
11427,Queens,2015,1
10457,Bronx,2014,1072
10458,Bronx,2014,1019
10468,Bronx,2014,748
10453,Bronx,2014,642
11221,Brooklyn,2014,636
10452,Bronx,2014,625
10456,Bronx,2014,595
11206,Brooklyn,2014,497
10467,Bronx,2014,433
10033,Manhattan,2014,387
11216,Brooklyn,2014,382
10032,Manhattan,2014,371
11237,Brooklyn,2014,364
10027,Manhattan,2014,336
10002,Manhattan,2014,323
10460,Bronx,2014,310
10025,Manhattan,2014,290
10009,Manhattan,2014,250
11238,Brooklyn,2014,231
10031,Manhattan,2014,226
11385,Queens,2014,222
10024,Manhattan,2014,220
11213,Brooklyn,2014,211
10451,Bronx,2014,201
10463,Bronx,2014,199
11233,Brooklyn,2014,190
10026,Manhattan,2014,188
10040,Manhattan,2014,182
10472,Bronx,2014,182
11217,Brooklyn,2014,182
11205,Brooklyn,2014,173
10034,Manhattan,2014,165
11222,Brooklyn,2014,157
10128,Manhattan,2014,152
10029,Manhattan,2014,146
10003,Manhattan,2014,144
10012,Manhattan,2014,136
11211,Brooklyn,2014,133
10455,Bronx,2014,131
10459,Bronx,2014,129
11226,Brooklyn,2014,126
11225,Brooklyn,2014,108
10462,Bronx,2014,103
11372,Queens,2014,103
10013,Manhattan,2014,88
10023,Manhattan,2014,87
10011,Manhattan,2014,82
11215,Brooklyn,2014,80
11201,Brooklyn,2014,79
11207,Brooklyn,2014,75
11373,Queens,2014,71
11377,Queens,2014,71
10014,Manhattan,2014,70
10035,Manhattan,2014,67
10001,Manhattan,2014,64
10301,Staten Island,2014,64
10028,Manhattan,2014,63
10030,Manhattan,2014,62
10038,Manhattan,2014,60
10474,Bronx,2014,59
11432,Queens,2014,57
11368,Queens,2014,56
10019,Manhattan,2014,54
11101,Queens,2014,53
10036,Manhattan,2014,50
11103,Queens,2014,45
11212,Brooklyn,2014,43
11223,Brooklyn,2014,42
10303,Staten Island,2014,41
10454,Bronx,2014,41
11249,Brooklyn,2014,41
10010,Manhattan,2014,37
10016,Manhattan,2014,37
10022,Manhattan,2014,37
10304,Staten Island,2014,35
11235,Brooklyn,2014,32
11435,Queens,2014,31
10039,Manhattan,2014,30
10305,Staten Island,2014,28
11375,Queens,2014,26
10469,Bronx,2014,25
10037,Manhattan,2014,24
10471,Bronx,2014,23
11203,Brooklyn,2014,23
11236,Brooklyn,2014,23
10302,Staten Island,2014,22
11208,Brooklyn,2014,22
11102,Queens,2014,21
11433,Queens,2014,21
10314,Staten Island,2014,20
11231,Brooklyn,2014,20
11214,Brooklyn,2014,19
11374,Queens,2014,19
10007,Manhattan,2014,17
11106,Queens,2014,17
11224,Brooklyn,2014,17
10004,Manhattan,2014,15
10021,Manhattan,2014,15
10473,Bronx,2014,15
11220,Brooklyn,2014,15
11210,Brooklyn,2014,14
11232,Brooklyn,2014,14
11355,Queens,2014,14
10065,Manhattan,2014,13
10306,Staten Island,2014,12
10310,Staten Island,2014,12
11418,Queens,2014,12
10018,Manhattan,2014,11
10466,Bronx,2014,11
11104,Queens,2014,11
11229,Brooklyn,2014,11
11204,Brooklyn,2014,10
11379,Queens,2014,10
11421,Queens,2014,10
10006,Manhattan,2014,9
11218,Brooklyn,2014,9
11230,Brooklyn,2014,8
11434,Queens,2014,8
11105,Queens,2014,7
11378,Queens,2014,7
10280,Manhattan,2014,6
10470,Bronx,2014,6
11429,Queens,2014,6
11219,Brooklyn,2014,5
11354,Queens,2014,5
11234,Brooklyn,2014,4
11361,Queens,2014,4
11367,Queens,2014,4
11369,Queens,2014,4
11414,Queens,2014,4
10005,Manhattan,2014,3
10075,Manhattan,2014,3
10162,Manhattan,2014,3
10463,Manhattan,2014,3
11209,Brooklyn,2014,3
11364,Queens,2014,3
11419,Queens,2014,3
11420,Queens,2014,3
11423,Queens,2014,3
11427,Queens,2014,3
10309,Staten Island,2014,2
10461,Bronx,2014,2
11357,Queens,2014,2
11358,Queens,2014,2
11362,Queens,2014,2
11370,Queens,2014,2
11415,Queens,2014,2
11416,Queens,2014,2
11426,Queens,2014,2
11691,Queens,2014,2
11692,Queens,2014,2
10017,Manhattan,2014,1
10044,Manhattan,2014,1
10307,Staten Island,2014,1
10308,Staten Island,2014,1
10312,Staten Island,2014,1
